support,itemsets
0.12,P0000
0.18,P0001
0.18,P0002
0.16,P0003
0.22,P0004
0.16,P0005
0.2,P0006
0.14,P0007
0.18,P0008
0.16,P0009
0.12,P0010
0.18,P0011
0.12,P0012
0.14,P0013
0.14,P0014
0.16,P0015
0.14,P0016
0.1,P0017
0.12,P0018
0.12,P0019
0.14,P0020
0.18,P0021
0.14,P0022
0.16,P0023
0.14,P0024
0.1,P0025
0.14,P0026
0.14,P0028
0.14,P0029
0.22,P0030
0.12,P0031
0.1,P0032
0.16,P0033
0.14,P0034
0.08,P0035
0.16,P0036
0.12,P0037
0.12,P0038
0.14,P0039
0.12,P0040
0.1,P0041
0.1,P0042
0.24,P0043
0.22,P0044
0.1,P0045
0.14,P0046
0.1,P0047
0.12,P0048
0.2,P0049
0.18,P0050
0.26,P0051
0.18,P0052
0.14,P0053
0.2,P0054
0.14,P0055
0.14,P0056
0.08,P0057
0.08,P0058
0.12,P0059
0.18,P0060
0.08,P0061
0.1,P0062
0.16,P0063
0.2,P0064
0.22,P0065
0.18,P0066
0.08,P0067
0.1,P0068
0.12,P0069
0.34,P0070
0.18,P0071
0.12,P0072
0.14,P0073
0.08,P0074
0.12,P0075
0.14,P0076
0.22,P0077
0.16,P0078
0.2,P0079
0.1,P0080
0.12,P0081
0.12,P0082
0.12,P0083
0.1,P0084
0.1,P0085
0.12,P0086
0.14,P0087
0.24,P0088
0.26,P0089
0.1,P0090
0.14,P0091
0.06,P0092
0.18,P0093
0.16,P0094
0.12,P0095
0.06,P0096
0.14,P0097
0.14,P0098
0.16,P0099
0.06,"P0008, P0000"
0.06,"P0023, P0000"
0.06,"P0030, P0000"
0.06,"P0000, P0071"
0.06,"P0034, P0001"
0.06,"P0001, P0043"
0.08,"P0001, P0049"
0.06,"P0050, P0001"
0.06,"P0051, P0001"
0.08,"P0001, P0052"
0.06,"P0001, P0060"
0.06,"P0001, P0065"
0.06,"P0001, P0070"
0.06,"P0001, P0076"
0.06,"P0088, P0001"
0.06,"P0001, P0089"
0.08,"P0091, P0001"
0.06,"P0092, P0001"
0.06,"P0002, P0007"
0.06,"P0002, P0020"
0.06,"P0002, P0021"
0.06,"P0051, P0002"
0.06,"P0054, P0002"
0.06,"P0055, P0002"
0.06,"P0064, P0002"
0.06,"P0080, P0002"
0.08,"P0088, P0002"
0.06,"P0002, P0093"
0.06,"P0095, P0002"
0.06,"P0003, P0009"
0.06,"P0003, P0026"
0.06,"P0033, P0003"
0.06,"P0044, P0003"
